json_path,basename,label,label_idx,split,matched_v1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.0.json,cocci.0.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1.json,cocci.1.jpg,coccidiosis,0,val,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.10.json,cocci.10.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.100.json,cocci.100.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1000.json,cocci.1000.jpg,coccidiosis,0,val,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1001.json,cocci.1001.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1002.json,cocci.1002.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1003.json,cocci.1003.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1004.json,cocci.1004.jpg,coccidiosis,0,test,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1005.json,cocci.1005.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1006.json,cocci.1006.jpg,coccidiosis,0,val,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1007.json,cocci.1007.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1008.json,cocci.1008.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1009.json,cocci.1009.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.101.json,cocci.101.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1010.json,cocci.1010.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1011.json,cocci.1011.jpg,coccidiosis,0,val,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1012.json,cocci.1012.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1013.json,cocci.1013.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1014.json,cocci.1014.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1015.json,cocci.1015.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1016.json,cocci.1016.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1017.json,cocci.1017.jpg,coccidiosis,0,train,1
../../Data/downloads/zenodo_4628934_poultry_fecal/content (2)/imgSegmentation/cocci/cocci.1018.json,cocci.1018.jpg,coccidiosis,0,train,1
