path,label,label_idx,duration_s,sample_rate,n_windows_train,split
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/1.wav,healthy,0,14.51,48000,6,test
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/10.wav,healthy,0,37.90,48000,17,train
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/100.wav,healthy,0,34.75,48000,16,test
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/101.wav,healthy,0,10.58,48000,4,val
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/102.wav,healthy,0,12.84,48000,5,test
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/103.wav,healthy,0,6.80,48000,2,train
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/104.wav,healthy,0,19.64,48000,8,train
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/105.wav,healthy,0,59.68,48000,20,train
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/106.wav,healthy,0,24.93,48000,11,train
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/107.wav,healthy,0,9.82,48000,3,train
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/108.wav,healthy,0,21.17,48000,9,train
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/109.wav,healthy,0,14.36,48000,6,train
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/11.wav,healthy,0,20.75,48000,9,val
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/110.wav,healthy,0,11.34,48000,4,val
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/111.wav,healthy,0,34.78,48000,16,train
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/112.wav,healthy,0,8.32,48000,3,train
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/113.wav,healthy,0,9.07,48000,3,train
../../Data/downloads/mendeley_vocalization/Chicken_Audio_Dataset/Healthy/114.wav,healthy,0,12.10,48000,5,train
