path,label_path,clip,orig_split,split,n_objects,class_hist
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154765_jpg.rf.08b1f1c7af9cb37f5b330fae2fba5f5c.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154765_jpg.rf.08b1f1c7af9cb37f5b330fae2fba5f5c.txt,1672722154765,train,test,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154765_jpg.rf.83d5d18b0510782e46a10742d03ba399.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154765_jpg.rf.83d5d18b0510782e46a10742d03ba399.txt,1672722154765,train,test,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154765_jpg.rf.85e721b097e1fcdd6097d11f535cd9a1.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154765_jpg.rf.85e721b097e1fcdd6097d11f535cd9a1.txt,1672722154765,train,test,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154765_jpg.rf.892f49df19b2fb96166689ac1b53e173.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154765_jpg.rf.892f49df19b2fb96166689ac1b53e173.txt,1672722154765,train,test,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154765_jpg.rf.9deeae75d09a58d1eadc2f9d4f708ea3.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154765_jpg.rf.9deeae75d09a58d1eadc2f9d4f708ea3.txt,1672722154765,train,test,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154765_jpg.rf.fae0180e0af97d16f0471138daeb27b0.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154765_jpg.rf.fae0180e0af97d16f0471138daeb27b0.txt,1672722154765,train,test,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154770_jpg.rf.5213dddf1e0755767fa220d4fa56813c.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154770_jpg.rf.5213dddf1e0755767fa220d4fa56813c.txt,1672722154770,train,train,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154770_jpg.rf.58dc1b17e868b46217a4d56cd643e282.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154770_jpg.rf.58dc1b17e868b46217a4d56cd643e282.txt,1672722154770,train,train,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154770_jpg.rf.bcd1b31b97fa29afb75220f61d5d2595.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154770_jpg.rf.bcd1b31b97fa29afb75220f61d5d2595.txt,1672722154770,train,train,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154775_jpg.rf.94d0a964ec78bc1100ca4b6a4f6f66c8.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154775_jpg.rf.94d0a964ec78bc1100ca4b6a4f6f66c8.txt,1672722154775,train,train,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154775_jpg.rf.b2f2f3243e4400486c3501165037a5ce.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154775_jpg.rf.b2f2f3243e4400486c3501165037a5ce.txt,1672722154775,train,train,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154775_jpg.rf.bfebad5910db6b2f9e09dd2e48893546.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154775_jpg.rf.bfebad5910db6b2f9e09dd2e48893546.txt,1672722154775,train,train,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154780_jpg.rf.0577abbc5c33088db797311aed155f55.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154780_jpg.rf.0577abbc5c33088db797311aed155f55.txt,1672722154780,train,train,1,0|1
../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/images/1672722154780_jpg.rf.474f97f3368892a645f183067e3381f4.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_healthy_sick/train/labels/1672722154780_jpg.rf.474f97f3368892a645f183067e3381f4.txt,1672722154780,train,train,1,0|1
