path,label_path,clip,orig_split,split,n_objects,class_hist
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-0_jpg.rf.2910363b8816e437a9c069fefd827e80.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-0_jpg.rf.2910363b8816e437a9c069fefd827e80.txt,A-chicken-crossing-the-road,train,test,0,0
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-10_jpg.rf.a95946eafed00c3ac520bf12faebfbed.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-10_jpg.rf.a95946eafed00c3ac520bf12faebfbed.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-12_jpg.rf.d1264a6b7399030a859ab14564255a25.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-12_jpg.rf.d1264a6b7399030a859ab14564255a25.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-13_jpg.rf.a38abec3de76b1847dc8a0da91df2457.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-13_jpg.rf.a38abec3de76b1847dc8a0da91df2457.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-14_jpg.rf.60b661d1ebc2d1646ceb0d0812601839.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-14_jpg.rf.60b661d1ebc2d1646ceb0d0812601839.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-15_jpg.rf.d3472e951674b7123c05aa7554d07183.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-15_jpg.rf.d3472e951674b7123c05aa7554d07183.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-16_jpg.rf.10b92a30d94e06090407ab296990656a.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-16_jpg.rf.10b92a30d94e06090407ab296990656a.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-17_jpg.rf.e8f1351080e00c6458e9fdbaaf35e70b.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-17_jpg.rf.e8f1351080e00c6458e9fdbaaf35e70b.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-19_jpg.rf.371b60d97e30d08283bfcb2f25036882.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-19_jpg.rf.371b60d97e30d08283bfcb2f25036882.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-20_jpg.rf.0320f3db8a7a8c90687afd2ad9364aa5.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-20_jpg.rf.0320f3db8a7a8c90687afd2ad9364aa5.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-21_jpg.rf.df940c6e51938b1e0d4898ef6582a551.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-21_jpg.rf.df940c6e51938b1e0d4898ef6582a551.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-22_jpg.rf.04255395132028bfa17142306b535e65.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-22_jpg.rf.04255395132028bfa17142306b535e65.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-24_jpg.rf.08b5312fda7726a6c77739c76670b3e3.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-24_jpg.rf.08b5312fda7726a6c77739c76670b3e3.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-25_jpg.rf.70006968f365f3265faa2b91ed2c2035.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-25_jpg.rf.70006968f365f3265faa2b91ed2c2035.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-26_jpg.rf.b7f6747455d8deb10860992f5be2c609.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-26_jpg.rf.b7f6747455d8deb10860992f5be2c609.txt,A-chicken-crossing-the-road,train,test,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/images/A-chicken-crossing-the-road_mp4-27_jpg.rf.bdf073813f13eb91eaff552204430fd2.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_tracking/train/labels/A-chicken-crossing-the-road_mp4-27_jpg.rf.bdf073813f13eb91eaff552204430fd2.txt,A-chicken-crossing-the-road,train,test,1,1
