path,label_path,clip,orig_split,split,n_objects,class_hist
../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/images/01_jpg.rf.0258b7eda63d99b97ad1d23a00ddae97.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/labels/01_jpg.rf.0258b7eda63d99b97ad1d23a00ddae97.txt,01,train,test,2,2
../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/images/01_jpg.rf.46b42a07006a86c90da6853e49b288ac.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/labels/01_jpg.rf.46b42a07006a86c90da6853e49b288ac.txt,01,train,test,2,2
../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/images/01_jpg.rf.af8d7d9f807a7a1386c91ead57079e6c.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/labels/01_jpg.rf.af8d7d9f807a7a1386c91ead57079e6c.txt,01,train,test,2,2
../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/images/02_jpg.rf.65b709cf5fb13187fd9e07662133afaf.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/labels/02_jpg.rf.65b709cf5fb13187fd9e07662133afaf.txt,02,train,train,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/images/02_jpg.rf.ae18571ead377da5aedc5d8c54c9b086.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/labels/02_jpg.rf.ae18571ead377da5aedc5d8c54c9b086.txt,02,train,train,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/images/02_jpg.rf.ae6e176078a1d01f5efbe472cedb265a.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/labels/02_jpg.rf.ae6e176078a1d01f5efbe472cedb265a.txt,02,train,train,1,1
../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/images/03_jpg.rf.9f2f8c08cf77d0a0e45589eb0900f9d9.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/labels/03_jpg.rf.9f2f8c08cf77d0a0e45589eb0900f9d9.txt,03,train,test,3,3
../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/images/03_jpg.rf.c38a832f29c91b49293ee2d6f1d2a0dc.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/labels/03_jpg.rf.c38a832f29c91b49293ee2d6f1d2a0dc.txt,03,train,test,3,3
../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/images/03_jpg.rf.f61bb007b30d771f330ea45fe7876f3e.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/labels/03_jpg.rf.f61bb007b30d771f330ea45fe7876f3e.txt,03,train,test,3,3
../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/images/04_jpg.rf.19564b0f7df752e0d5e694c14426b190.jpg,../../Data/downloads/Roboflow/Data/downloads/roboflow_broiler_detection/train/labels/04_jpg.rf.19564b0f7df752e0d5e694c14426b190.txt,04,train,test,4,4
